"artist","song","song_length","session_id","item_in_session"
"Gabin featuring China Moses","The Other Way Round (Feat. China Moses)","249.36444","879","11"
"Los Lobos","La Bamba","174.18404","978","0"
"Robert Pollard","We All Got Out (of the Army)","202.91873","978","1"
"MÃÂ¥ns ZelmerlÃÂ¶w","Brother Oh Brother","206.96771","978","2"
"Shakira","Did it Again","192.70485","978","3"
"Showbread","The Pig","297.58649","978","4"
"DHT Feat. EdmÃÂ©e","Listen To Your Heart","229.98159","982","1"
"Bersuit Vergarabat","Yo Tomo","212.40118","982","2"
"La Roux","Quicksand","185.65179","982","3"
"Conjure One","Center Of The Sun","300.09424","982","4"
"Graham Colton","On Your Side","235.10159","982","5"
"The Starting Line","I'm Real","207.85587","982","6"
"Jimmy Eat World","Drugs Or Me","385.802","982","7"
"Pull Tiger Tail","Hurricanes","239.882","982","8"
"OneRepublic","Secrets","224.67873","982","9"
"Hannah Montana","The Best Of Both Worlds","174.00118","982","10"
"Ramses Shaffy","Laat Me.","332.69506","957","1"
"Van Halen","Why Can't This Be Love (Remastered Version)","228.33587","957","2"
"Method Man","All I Need","195.97016","979","0"
"Mando Diao","Down In The Past","238.54975","957","3"
"The Archies","Sugar Sugar","166.16444","979","1"
"OneRepublic","Apologize","208.14322","957","4"
"Ensiferum","Lady In Black","273.8673","957","5"
"Gold Panda","Win-san Western","189.09995","957","6"
"Dixie Chicks","Tonight The Heartache's On Me","206.44526","957","7"
"Ferry Corsten","Sublime","466.46812","957","8"
"Energy 52","CafÃÂ© Del Mar","462.13179","946","0"
"Babyshambles","Killamangiro","206.49751","957","9"
"Michael BublÃÂ©","Home (Album Version)","225.90649","946","1"
"Steppenwolf","Born To Be Wild","208.14322","957","10"
"Jean Michel Jarre","oxygene 2","461.58322","946","2"
"BjÃÂ¶rk","Undo","348.57751","957","11"
"Anberlin","Alexithymia","203.02322","957","12"
"Metallica","Master Of Puppets","515.21261","957","13"
"Imogen Heap","Hide & Seek","509.36118","957","14"
"Crosby_ Stills & Nash","Long Time Gone  (LP Version)","257.43628","987","0"
"Nickel Creek","Scotch & Chocolate","187.55873","987","1"
"MF Doom","Guinnesses (feat. Angelika & 4ize)","296.72444","957","16"
"Breaks Co-Op","The Otherside (Acoustic Version)","199.73179","989","1"
"The Streets","War Of The Sexes","208.90077","987","2"
"Old 97's","Victoria (LP Version)","231.28771","957","17"
"Martin O'Donnell And Michael Salvatori","Reclaimer","185.80853","987","3"
"Kate Voegele","It's Only Life","248.31955","957","18"
"Justin Bieber","Somebody To Love","220.89098","987","4"
"Devotchka","Head Honcho","225.09669","957","19"
"Silversun Pickups","Three Seed","340.53179","987","5"
"Animal Collective","Winter Wonderland","164.77995","957","20"
"Dinosaur Jr.","Does It Float","198.53016","987","6"
"Iam","Contrat De Conscience","287.92118","957","21"
"Sam Sparro","Pocket","284.70812","987","7"
"The Ethiopians","Train To Skaville","170.1873","957","22"
"Leonard Cohen","Dance Me To The End Of Love","365.94893","987","8"
"Herman's Hermits","I'm Into Something Good","155.42812","957","23"
"Seeed","Tide Is High (Es Geht Auch Anders Mix)","207.59465","957","24"
"Future Rock","Gears","239.90812","987","9"
"Three Drives","Greece 2000","411.6371","957","25"
"Eminem","Deja Vu","283.55873","987","10"
"Creedence Clearwater Revival","It's Just A Thought","230.94812","957","26"
"Florence + The Machine","Dog Days Are Over (Radio Edit)","219.66322","987","11"
"The Kooks","Seaside","98.16771","957","27"
"Yazoo","Don't Go (Live)","178.99057","957","28"
"Hans Zimmer_ James Newton Howard","Macrotus","455.47057","987","12"
"Paul Cardall","Scarborough Fair","222.87628","957","29"
"Aretha Franklin","Hello Sunshine","183.90159","957","30"
"Muse","Supermassive Black Hole (Twilight Soundtrack Version)","209.50159","987","13"
"Coldplay","Shiver","298.762","957","31"
"Eric Clapton","Tears In Heaven","271.80363","987","14"
"Kate Winslet","What If (Film Version)","106.73587","957","37"
"Roadrunner United","The Enemy (Album Version)","285.02159","987","15"
"Flogging Molly","Punch Drunk Grinning Soul","260.75383","957","38"
"Apocalyptica","Quutamo","206.15791","987","16"
"Blind Melon","Mouthful Of Cavities","214.72608","957","39"
"Killswitch Engage","In A Dead World (Album Version)","254.45832","987","17"
"Charlie Wilson featuring Snoop Dogg","Let It Out","231.70567","957","40"
"Black Eyed Peas","Let's Get It Started","229.61587","987","18"
"Coldplay","Don't Panic","139.12771","957","41"
"Tori Amos Featuring Damien Rice","The Power of Orange Knickers","215.82322","957","42"
"Abba","Summer Night City","213.05424","957","43"
"Blu Cantrell Featuring Foxy Brown","Hit 'Em Up Style (Oops!)","250.69669","957","44"
"Keyshia Cole / T.I. / Missy Elliott / Young Dro","Let It Go","220.08118","957","45"
"Maroon 5","Can't Stop","152.842","957","46"
"Angels and Airwaves","The Gift","302.05342","957","47"
"Silversun Pickups","Lazy Eye [Jason Bentley Remix]","348.23791","957","48"
"65daysofstatic","Drove Through Ghosts to Get Here","264.98567","969","0"
"Los Abuelos De La Nada","Se Me OlvidÃÂ³ Que Te OlvidÃÂ©","122.27873","957","51"
"STRATOVARIUS","Soul Of A Vagabond","442.06975","957","52"
"Young Money featuring Lloyd","BedRock (Radio Edit) (feat.Lloyd)","196.33587","969","1"
"The Human League","(Keep Feeling) Fascination (2003 Digital Remaster)","225.17506","969","2"
"Enya","Aldebaran","185.7824","957","53"
"Alceu ValenÃÂ§a","Eu Te Amo","176.56118","969","3"
"Nickel Creek","In The House Of Tom Bombadil","225.69751","957","54"
"Linkin Park","Crawling (Album Version)","208.95302","270","1"
"Matisyahu","King Without A Crown","222.37995","969","4"
"Bryn Terfel / Berliner Philharmoniker / Claudio Abbado","Wotan's Farewell & Magic Fire Music","967.36608","957","55"
"Jens Lekman","Someone To Share My Life With","210.46812","969","5"
"Propellerheads","Take California","239.3073","969","6"
"Daft Punk","Human After All (SebastiAn Remix )","286.6673","992","0"
"Edward Sharpe & The Magnetic Zeros","Home","306.31138","969","7"
"The Feeling","I Want You Now","227.36934","992","1"
"Crystal Castles","Untrust us","186.38322","969","8"
"The Black Keys","Busted","152.52853","992","2"
"Timbaland / Keri Hilson / D.O.E.","The Way I Are","179.25179","957","56"
"Oliver Koletzki","Nascita Of The Monsters","609.48853","969","9"
"Josh Groban","Lullaby [With Ladysmith Black Mambazo] (Album Version)","152.0322","992","3"
"Moonspell","Hers is the twilight","293.642","957","57"
"Alliance Ethnik","ReprÃÂ©sente","252.21179","992","4"
"Silverchair","Tomorrow","267.88526","992","5"
"Blood Red Shoes","Don't Ask","186.90567","957","58"
"Kurd Maverick","Let's Work","480.46975","957","59"
"Deadmau5","Arguru","429.94893","969","10"
"Usher Featuring Lil' Jon & Ludacris","Yeah!","250.38322","969","11"
"The Aztext","Learn to Talk","259.21261","957","60"
"Rey Ruiz","Por Amarte AsÃÂ­","301.87057","969","12"
"BjÃÂ¶rk","Undo","348.57751","957","61"
"LeAnn Rimes","Probably Wouldn't Be This Way (Dann Huff remix)","217.25995","969","13"
"Jagged Edge","Addicted To Your Love","195.21261","957","62"
"Gorillaz","Rock The House (Radio Edit)","183.53587","992","7"
"Guns N' Roses","Used To Love Her","193.14893","969","14"
"Verdena","Phantastica","241.162","957","63"
"Angus & Julia Stone","Soldier","218.8273","992","8"
"Tegan And Sara","Relief Next To Me (Album Version)","180.29669","969","15"
"BjÃÂ¶rk","Undo","348.57751","957","64"
"Andrew Gold","Thank You for Being a Friend","282.01751","992","9"
"Platero Y Tu","Imanol","133.61587","969","16"
"My Chemical Romance","Welcome To The Black Parade (Album Version)","311.11791","707","0"
"Justin Bieber","Somebody To Love","220.89098","969","17"
"BlÃÂ¸f","Aanzoek Zonder Ringen (met Kodo)","294.29506","992","10"
"Avenged Sevenfold","Bat Country (Album Version)","312.11057","957","65"
"KMC Feat. Dhany","I Feel So Fine ","483.81342","969","18"
"Kings Of Leon","Revelry","201.79546","707","1"
"Faith No More","Midlife Crisis","257.802","992","11"
"Lily Allen","Him","197.45914","957","66"
"Framing Hanley","Alone In This Bed (Capeside)","230.08608","707","2"
"Andrew Jackson Jihad","Brave as a Noun","74.97098","957","68"
"Twista","Girl Tonite [Featuring Trey Songz] [Explicit Album Version]","223.03302","992","12"
"Sisqo","Thong Song","253.49179","969","19"
"Underworld","To Heal","158.4322","707","3"
"Paramore","The Only Exception (Album Version)","267.65016","957","69"
"Train","Hey_ Soul Sister","216.76363","707","4"
"Die Mooskirchner","Frisch und g'sund","169.29914","992","13"
"Ron Carter","I CAN'T GET STARTED","497.13587","969","20"
"Bo Kaspers Orkester","Undantag","259.36934","957","70"
"Kid Cudi / MGMT / Ratatat","Pursuit Of Happiness (nightmare)","295.67955","707","5"
"Bacilos","Viejo","307.51302","957","71"
"Alejandro Sanz","Y solo se me ocurre amarte (Unplugged)","277.2371","969","21"
"UNKLE","Burn My Shadow","295.54893","957","73"
"the bird and the bee","My Love","225.17506","969","22"
"TRUSTcompany","Take It All","194.2722","773","0"
"Pixies","Where Is My Mind?","229.3024","957","74"
"Faith No More","Last Cup Of Sorrow","249.86077","969","23"
"Big Tymers","Rocky","289.95873","957","75"
"The Darkness","I Believe In A Thing Called Love","217.05098","969","24"
"D Black","Mais E Mais Amor","261.14567","957","76"
"Craig Mack","Flava In Your Ear","218.04363","969","25"
"DAVE MATTHEWS BAND","Grux","71.81016","992","15"
"Sugar Pie DeSanto","Soulful Dress","169.50812","992","16"
"Mickie Krause","Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West)","204.17261","969","26"
"Mikel Erentxun","Frases Mudas","178.83383","992","17"
"Sigur RÃÂ³s","Gong","333.63546","969","27"
"Two Door Cinema Club","You Are Not Stubborn","190.56281","992","18"
"Josh Turner","Firecracker","208.84853","992","19"
"El Gran Combo De Puerto Rico","Sin Salsa No Hay ParaÃÂ­so","226.89914","969","28"
"The Black Keys","Heavy Soul ","156.18567","992","20"
"Muse","Yes Please","185.93914","969","29"
"Rivers Cuomo","The World We Love So Much","219.48036","992","21"
"Man Man","Van Helsing Boombox","222.45832","969","30"
"Four Tet","Untangle","276.76689","992","22"
"Usher featuring will.i.am","OMG","395.72853","969","31"
"The Grateful Dead","Peggy-O [Studio Outtake]","351.9473","992","23"
"Rilo Kiley","I Never (Album Version)","270.99383","969","32"
"Leonard Cohen","I'm Your Man","267.67628","992","24"
"Justin Bieber","Love Me","191.55546","969","33"
"Olivier Darock","Miss You","391.10485","992","25"
"Anjulie","Addicted2Me","187.76771","969","34"
"Rilo Kiley","A Man/Me/Then Jim (Album Version)","322.42893","969","35"
"Florence + The Machine","Cosmic Love","258.55955","992","26"
"Daft Punk","Harder Better Faster Stronger (Alive Radio Edit 2007)","213.28934","992","27"
"R. Kelly","Your Body's Callin'","297.37751","935","0"
"Erykah Badu","Fall In Love (your funeral)","366.65424","992","28"
"C.J. Lewis","Sweets For My Sweet","201.27302","935","1"
"Modest Mouse","Here It Comes","190.35383","992","29"
"Lil Wayne / Bobby Valentino / Kidd Kidd","Mrs. Officer","286.95465","992","30"
"Pantera","Becoming [Live Version]","239.0722","992","31"
"Foo Fighters","DOA","252.52526","992","32"
"Jeremih","My Ride","220.55138","992","33"
"Charttraxx Karaoke","Fireflies","225.17506","992","34"
"Nirvana","Breed","186.48771","992","35"
"Kanye West","Stronger","311.84934","992","36"
"Kiuas","The New Chapter","265.24689","992","37"
"Wet Wet Wet","Love Is All Around","237.71383","992","38"
"Michael BublÃÂ©","Come Fly With Me (Album Version)","199.20934","992","39"
"Jody McBrayer","To Ever Live Without Me","247.19628","992","40"
"No Mercy","Please Don't Go","240.8224","992","41"
"Coldplay","Postcards From Far Away","47.64689","876","0"
"Philippe Rochard","Crumpshit","360.51546","876","1"
"Samy Deluxe","Intro","238.36689","992","43"
"Method Man","Method Man","196.75383","992","44"
"America","Love & Leaving","219.19302","876","2"
"Pet Shop Boys With Dusty Springfield","What Have I Done To Deserve This? (2001 Digital Remaster)","262.19057","992","45"
"Paramore","The Only Exception (Album Version)","267.65016","876","3"
"The Offspring","We Are One","239.93424","992","46"
"Markus Schulz Feat. Departure","Cause You Know","543.58159","876","6"
"Lupe Fiasco feat. Nikki Jean","Hip-Hop Saved My Life (feat. Nikki Jean) (Explicit Album Version)","242.49424","992","47"
"ISRAEL & NEW BREED","If Not For Your Grace","469.52444","992","48"
"Florence + The Machine","Bird Song Intro","80.87465","876","7"
"Crash Romeo","Actions not words","170.84036","992","49"
"Royksopp","Happy Up Here","163.65669","992","50"
"Cage The Elephant","In One Ear","241.162","992","51"
"The Unwinding Hours","There Are Worse Things Than Being Alone","301.50485","992","52"
"Shakira","La Pared","159.05914","992","53"
"Vader","Fight Fire With Fire","245.86404","992","54"
"Combichrist","red signal","336.14322","958","0"
"Good Old War","Just Another Day","166.03383","992","55"
"Regina Spektor","Baobabs (Bonus Album Version)","122.43546","992","56"
"Cartola","Sala De RecepÃÂ§ÃÂ£o","208.92689","992","57"
"The Offspring","Not the One (Album Version)","175.04608","992","58"
"Nirvana","Lithium","257.01832","992","59"
"The Radio Dept.","Where Damage Isn't Already Done","163.36934","992","60"
"OlÃÂ© OlÃÂ©","Con sÃÂ³lo una mirada","247.87546","992","61"
"Lady GaGa","Alejandro","274.18077","992","62"
"The Temper Trap","Fools","275.40853","992","63"
"The Avett Brothers","Go To Sleep","244.29669","992","64"
"Professor Longhair","Mean Ol'World","214.20363","124","0"
"Gary Hobbs","En Mi Mundo","245.52444","42","1"
"Lifehouse","We'll Never Know","203.59791","42","2"
"Olivia Ruiz","Cabaret Blanco","254.74567","42","3"
"Jordan Rudess","Tarkus","1367.84934","225","1"
"Deerhunter","Weird Era","162.08934","128","0"
"Daughtry","No Surprise","249.91302","128","1"
"Vinylshakerz","Club Tropicana","207.25506","128","6"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","277.15873","128","7"
"Son House","Depot Blues","182.43873","128","8"
"Jason Mraz & Colbie Caillat","Lucky (Album Version)","189.6224","128","9"
"The Romantics","Talking In Your Sleep","233.7171","128","10"
"The Postal Service","Such Great Heights","266.47465","128","11"
"Tweet","Always Will (LP Version)","281.80853","128","12"
"Gang Starr/Inspectah Deck","Above The Clouds (Edited)","225.07057","128","13"
"Kanye West","Coldest Winter","164.38812","128","14"
"Shunza","Nan Ni Wan","250.93179","128","15"
"Erykah Badu","Back In The Day","286.9024","128","16"
"Mariza","Vielas De Alfama","239.3073","143","0"
"Asia 2001","Epilogue","150.30812","128","22"
"Alejandro Sanz","Non E_ Per Te_ Per Me","230.24281","143","1"
"The Casualties","Fight For Your Life","131.23873","128","23"
"Alliance Ethnik","ReprÃÂ©sente","252.21179","128","24"
"Hey Monday","Run_ Don't Walk","222.98077","128","25"
"Silverchair","The Door","213.13261","128","26"
"El DeBarge","Love Always","323.47383","128","27"
"Evanescence","Bring Me To Life","236.12036","128","28"
"Ludovico Einaudi","The Snow Prelude No. 2","249.02485","128","30"
"Caifanes","Ayer Me Dijo Un Ave","210.88608","128","31"
"The xx","Basic Space","188.55138","128","32"
"Swizz Beatz","Big Munny","213.7073","128","33"
"OutKast","Ms. Jackson","239.35955","128","34"
"The Black Keys","The Only One","300.30322","128","35"
"Nappy Roots [featuring Anthony Hamilton]","Po' Folks","248.00608","128","36"
"Whitesnake","Fool For Your Loving","250.3571","128","37"
"Foolish Things","Who Can Compare","266.86649","128","38"
"Soda Stereo","PrÃÂ³fugos","317.6224","128","39"
"Edward Sharpe & The Magnetic Zeros","Home","306.31138","128","40"
"Anberlin","Dismantle. Repair.","258.42893","196","0"
"L-7","Shitlist","168.56771","196","2"
"Future Of The Left","Fingers Become Thumbs","112.63955","196","4"
"Franz Ferdinand","Call Me","206.28853","196","5"
"Travie McCoy","Billionaire [feat. Bruno Mars]  (Explicit Album Version)","211.12118","196","6"
"Lily Allen","Smile","194.76853","196","7"
"Rancid","Fall Back Down (Album Version)","223.65995","196","8"
"Katy Perry","I'm Still Breathing","228.49261","196","9"
"Freestylers","Punks (Krafty Kuts Remix)","340.06159","196","10"
"Kid Rock","All Summer Long (Album Version)","296.95955","15","1"
"LITE","On A Gloomy Evening","248.08444","196","11"
"The Killers","When You Were Young","220.89098","15","2"
"Hymie's Basement","Ghost Dream","175.38567","196","12"
"Pavement","Rooftop Gambler","195.73506","196","13"
"Trey Songz","Can't Help But Wait (Album Version)","205.81832","15","3"
"Shakira","La Pared","159.05914","196","14"
"Billy J Kramer & The Dakotas","Tennessee Waltz (Live)","191.32036","15","4"
"Arctic Monkeys","D is for Dangerous","138.10893","196","15"
"Dashboard Confessional","Ghost Of A Good Thing","224.54812","15","5"
"Moby","Lift Me Up","196.75383","196","18"
"Dan Deacon","Snookered","483.89179","196","19"
"Puddle Of Mudd","Psycho","210.80771","196","20"
"Red Hot Chili Peppers","Snow [Hey Oh] (Album Version)","334.65424","196","21"
"The Barbarians","Memphis_ Tennessee","149.44608","196","22"
"Julia Fordham","Jump (Live)","213.44608","196","23"
"Alicia Keys","Streets Of New York (City Life)","455.52281","196","24"
"Regina Spektor","Another Town","247.69261","196","25"
"Deborah Harry & Iggy Pop","Well Did You Evah!","207.49016","196","26"
"Dr. Dre / Eminem / Alvin Joiner","What's The Difference","244.21832","196","27"
"Marcel Woods","Advanced (Ton T.B. Mix)","424.33261","196","28"
"OneRepublic","Apologize","208.14322","196","29"
"Beastie Boys","The Maestro","172.22485","196","30"
"Paramore","The Only Exception (Album Version)","267.65016","196","31"
"Varios","Hasta siempre","204.64281","196","32"
"The Black Keys","Howlin For You","191.76444","196","33"
"Muse","Feeling Good","198.79138","196","34"
"Frankie J","Daddy's Little Girl","254.32771","196","35"
"Kirk Franklin & The Family","Now Behold The Lamb","418.71628","196","36"
"Cooly's Hot Box","Make Me Happy","371.06893","196","37"
"Ron Van Den Beuken","Timeless","506.5922","229","0"
"Sparks","Lost And Found","199.02649","196","38"
"Regina Spektor","The Calculation (Album Version)","191.08526","196","39"
"Subhumans","Rain","209.37098","196","40"
"Sia","Beautiful Calm Driving","302.602","196","43"
"Shadows Fall","Lead Me Home","178.65098","196","44"
"Eminem / Dr. Dre / 50 Cent","Crack A Bottle","297.56036","196","45"
"Vampire Weekend","Oxford Comma (Album)","195.7873","196","46"
"Eddie Floyd","Guess Who","198.19057","31","1"
"The Swell Season","If You Want Me (Live)","319.13751","220","0"
"Alex Band","Tonight (Single Mix)","238.8371","145","0"
"Nightwish","The Islander","305.97179","220","1"
"Cartola","As Rosas NÃÂ£o Falam","172.12036","133","0"
"Vampire Weekend","I Think Ur A Contra","269.16526","133","1"
"Sebadoh","Hassle","210.18077","133","2"
"Incubus","Wish You Were Here","212.74077","133","3"
"Blue States","Allies","239.3073","133","4"
"Octopus Project","Hypnopaedia","498.33751","141","1"
"Mike Posner","Cooler Than Me","214.7522","228","0"
"Alliance Ethnik","ReprÃÂ©sente","252.21179","176","0"
"Gang Starr/Inspectah Deck","Above The Clouds (Edited)","225.07057","176","3"
"Was (Not Was)","Shake Your Head","239.15057","164","1"
"23 Skidoo","Crossfire","370.88608","176","4"
"Dwight Yoakam","You're The One","239.3073","176","5"
"Finger Eleven","Obvious Heart","259.68281","198","1"
"Shaggy","Intoxication","212.97587","198","2"
"Kid Cudi","Up Up & Away","227.34322","235","0"
"Klaus Doldinger's Passport","Fairy Tale","460.43383","198","3"
"Aesop Rock","None Shall Pass (Main)","245.65506","235","1"
"Salt 'n' Pepa with En Vogue","Whatta Man (Salt-N-Pepa Featuring En Vogue) (EP Version)","296.202","134","0"
"Tiger Army","Ghost Tigers Rise (Album Version)","129.38404","134","1"
"NEEDTOBREATHE","Don't Wait For Daylight (Album Version)","225.82812","134","2"
"Baby Huey & The Baby Sitters","Hard Times (LP Version)","194.7424","243","0"
"Justin Bieber","Somebody To Love","220.89098","243","1"
"David Byrne & Fatboy Slim feat. Charmaine Clamor","Walk Like A Woman (Album Version)","238.65424","243","2"
"Taylor Swift","You Belong With Me","230.47791","243","3"
"Ottmar Liebert","Festival (Of 7 Lights)","174.54975","243","4"
"The Roots","Dynamite!","285.6224","72","0"
"Foo Fighters","Learn To Fly","235.28444","72","1"
"El Hombre Burbuja","Buzos (En La Luna)","161.33179","72","2"
"Rock Kills Kid","Back To Life (Album Version)","271.38567","72","3"
"Manu Chao","Me Quedo Contigo [Si Me Das A Elegir]","288.15628","72","4"
"B.o.B","Nothin' On You [feat. Bruno Mars] (Album Version)","269.63546","72","5"
"Baby Boy Da Prince / Mannie Fresh","Naw Meen","235.2322","72","6"
"Gerry Rafferty","Don't Close The Door","224.39138","72","7"
"the bird and the bee","Again & Again","165.642","72","10"
"Blur","Sing","361.58649","72","11"
"Puerto Rican Power","Juguete De Nadie","305.44934","72","12"
"Hercules And Love Affair","Blind (Frankie Knuckles Remix)","471.74485","72","13"
"BeyoncÃÂ©","Kitty Kat","235.67628","72","14"
"Burt Bacharach","Pacific Coast Highway","200.54159","72","15"
"Common","Be (Intro)","144.16934","72","16"
"Ra Ra Riot","Can You Tell","152.71138","72","17"
"Flyleaf","There For You","167.8624","72","18"
"Neil Young","Danger Bird (Album Version)","414.69342","72","19"
"A Day To Remember","You Already Know What You Are","87.50975","72","20"
"Del Tha Funkee Homosapien","Sleepin' On My Couch","199.07873","72","21"
"Leopoldo Federico","La Cachila","205.73995","72","22"
"Moose","Do You Remember","490.21342","72","23"
"Wyclef Jean","Knockin' On Heaven's Door","242.07628","72","24"
"Alvin And The Chipmunks","Coast 2 Coast","166.47791","72","25"
"Anthrax","Who Cares Wins","458.23955","72","26"
"Beatsteaks","Jane Became Insane","177.8673","72","27"
"Nouvelle Vague","Too Drunk Too F****","132.70159","249","0"
"Mastodon","Divinations (Album Version)","218.87955","249","1"
"The Killers","Sam's Town","245.99465","249","2"
"Alanis Morissette","Right Through You (LP Version)","175.82975","186","0"
"Miami Horror","Sometimes","250.8273","293","88"
"The White Stripes","My Doorbell (Album Version)","241.8673","293","89"
"Juan Carmona","Panales de Algodon","331.44118","293","90"
"Alison Krauss / Union Station","Restless","171.04934","293","91"
"Bullet For My Valentine","Begging For Mercy","235.65016","293","92"
"BjÃÂ¶rk","Undo","348.57751","293","93"
"Kanye West","Celebration","198.47791","293","94"
"Amy Winehouse","Stronger Than Me","231.52281","223","0"
"Saosin","You're Not Alone","238.10567","293","95"
"Gorillaz","Last Living Souls","195.44771","293","96"
"World Inferno/Friendship Society_ The","Everybody Comes to Rick's","125.83138","293","97"
"Fall Out Boy","Don't You Know Who I Think I Am?","172.01587","293","98"
"Lonnie Gordon","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","181.21098","293","99"
"Crystal Castles","Not In Love","213.05424","293","100"
"Cage The Elephant","Ain't No Rest For The Wicked (Original Version)","175.12444","293","101"
"Rick Ross","Luxury Tax","277.36771","293","102"
"Lovehatehero","Red Dress","216.65914","181","0"
"Justin Bieber","Never Let You Go","264.35873","181","1"
"Zero 7","You're My Flame [Album Version]","199.96689","181","2"
"Yeah Yeah Yeahs","Heads Will Roll","220.96934","181","3"
"4 Skins","Clockwork Skinhead","165.51138","181","4"
"Anne-Lie RydÃÂ©","SÃÂ¥n't ÃÂr Livet (You Can Have Her) (2002 Digital Remaster)","176.90077","8","0"
"The Smiths","There Is A Light That Never Goes Out","242.9122","8","1"
"Metallica","Master Of Puppets","515.21261","8","2"
"Flight Of The Conchords","Too Many Dicks (On The Dance Floor)","148.55791","192","0"
"In Flames","Come Clarity","255.76444","192","1"
"Juan Carlos Baglietto","Cuando","221.80526","8","3"
"Juan Carlos Baglietto","Era En Abril","285.64853","8","4"
"Saliva","Click Click Boom","252.44689","313","0"
"Soul II Soul","How Long","239.67302","298","0"
"Los Rodriguez","Enganchate Conmigo","205.21751","313","1"
"Twista feat. Kayne West & Jamie Foxx","Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version)","212.55791","313","2"
"Slim Cessna's Auto Club","Unto The Day","333.37424","313","3"
"Philippe Rochard","Crumpshit","360.51546","162","0"
"Mike And The Mechanics","A Beggar On A Beach Of Gold","275.12118","162","1"
"No Doubt","Hey You","213.31546","162","2"
"The White Stripes","Seven Nation Army (Album Version)","231.81016","286","3"
"Oscar Peterson","Nighttime","516.70159","162","3"
"Jem","Amazing Life","242.18077","301","0"
"Jagged Edge featuring Run of Run DMC","Let's Get Married","248.37179","301","1"
"Arctic Monkeys","Baby I'm Yours","152.60689","329","1"
"Pixies","Build High","89.36444","338","1"
"The Roots / Jack Davey","Atonement","155.95057","338","2"
"Mike And The Mechanics","A Beggar On A Beach Of Gold","275.12118","338","3"
"Faithless","Music Matters (Mark Knight Dub)","495.3073","338","4"
"Kings Of Leon","Be Somebody","227.13424","204","0"
"Vader","Carnal","128.91383","339","1"
"Wu-Tang Clan","Impossible","122.46159","339","2"
"Matt Nathanson","Bare","187.03628","319","1"
"Lily Allen","Smile","194.76853","319","2"
"Harmonia","Sehr kosmisch","655.77751","285","0"
"Avril Lavigne","Keep Holding On","239.90812","221","1"
"White Lion","When The Children Cry","378.93179","221","2"
"Lifehouse","You And Me (Wedding Version)","195.47383","221","3"
"Entombed","Stranger Aeons","237.73995","285","1"
"Miley Cyrus","The Climb","236.85179","221","4"
"Ray Barretto","Indestructible","251.79383","285","2"
"Syd Barrett","Lanky (Part One)","332.32934","221","5"
"Thievery Corporation","Racing East","225.85424","285","3"
"Jack Johnson","Angel","210.85995","285","5"
"Todd Barry","Sugar Ray (LP Version)","126.82404","221","6"
"Eddie Vedder","Guaranteed","164.17914","221","7"
"Arcade Fire","No Cars Go","343.69261","285","6"
"Cartola","Verde Que Te Quero Rosa","188.65587","221","8"
